Date of Measurement,Device Model,Operating System Version,Task Type,Brightness Level (%),Battery Life (hours:minutes),Battery Health (%),Device Temperature (°C),CPU Utilization (%),Memory Usage (% RAM)
2025-04-21,Dell XPS 13,ios 17.4,Gaming,110.86545159571457,7:06,83.64376495011105,58.07860985469922,63.126480477245856,83.91586382130211
2025-05-15,iPhone 15 Pro,iPadOS 17.4,Idle,91.52041584170323,3:59,83.17483763889797,48.001628212196465,35.55648740985336,73.36401451904239
2025-04-21,Dell XPS 13,ios 17.4,Idle,61.42010340557914,3:27,93.71375820276548,42.55134323117135,68.7033130631415,76.90457871324153
2025-04-28,"MacBook Pro 14""",macOS 13.3.1,Idle,84.43189566137347,9:47,101.44319601074478,47.99982403020156,40.21491492867075,34.37751883953973
2025-04-29,Pixel 7,Windows 11 23H2,Idle,61.971306490354635,6:01,97.92631303032158,42.68472793420437,52.56510372049722,76.05522986393004
2025-05-03,HP Spectre x360,Android 14,Coding,28.668931359372063,6:39,101.10051170541477,45.399035560664956,66.83675705575362,37.801761603703696
2025-05-01,iPad Air 5,macOS 13.3.1,Video Editing,77.38910725823399,2:52,106.5173700768919,40.22915379947985,61.23668782613789,48.1792124262973
2025-04-05,"MacBook Pro 14""",ios 17.4,Gaming,44.4037684201397,6:27,90.33115312216127,43.353888736560826,38.0516546282731,43.321758098270315
2025-04-29,Galaxy Tab S8,Android 13,Gaming,24.354546861044085,3:19,103.74099026475908,36.57192270944849,34.912516260885546,54.61520607738686
2025-05-02,Galaxy S22,Windows 11 23H2,Gaming,74.28409728742221,7:59,86.54456648576385,41.6540520094398,58.317088201756725,45.92779939437107
2025-05-04,Dell XPS 13,iPadOS 17.4,Video Editing,39.009402770353795,5:16,107.84749675323813,47.293627276778864,34.765226616624744,71.27051525243505
2025-05-13,Galaxy S22,Android 13,Idle,63.3407589204983,10:45,99.14335592395206,47.75801624088281,35.299461381016236,57.02625252988279
2025-05-22,Galaxy S22,macOS 13.3.1,Gaming,36.09527637844454,3:36,78.18310969093753,46.22253027792149,84.65148473124873,56.4617177854306
2025-05-17,Dell XPS 13,Windows 11 23H2,Gaming,91.1672130534238,3:58,97.13213671518882,44.54541756993394,69.28271245781849,57.52147959156651
2025-05-08,iPhone 15 Pro,iPadOS 17.4,Idle,82.73461574351292,3:59,93.63206010308133,33.97968524788607,42.370194936805966,74.35410669207822
2025-04-26,iPad Air 5,iPadOS 17.4,Streaming,85.53356521634436,9:46,94.76684784282519,38.514129114416384,56.247927299207305,27.451140578959944
2025-04-16,iPad Air 5,macOS 13.3.1,Video Editing,93.93791761336122,2:52,101.28733884778383,50.02583406754521,56.8268566422449,45.991799840928756
2025-04-23,Dell XPS 13,ios 17.4,Idle,61.34934267709024,3:27,94.59452597610745,50.00262932271989,71.50644432041129,83.70680934291356
2025-05-06,Pixel 7,Android 13,Idle,76.19077799444821,2:08,82.40488498833574,48.119999056611846,81.99580882723421,69.00418493244582
2025-05-16,Pixel 7,Android 13,Idle,56.76151177862505,8:03,87.0303841106408,41.245558924053974,26.059406660421892,40.31195320771795
2025-04-18,Galaxy S22,iPadOS 17.4,Idle,76.13827747660038,7:36,102.4221977545303,38.59902238544741,20.61954482134514,30.56940192525274
2025-05-17,"MacBook Pro 14""",Windows 11 23H2,Idle,35.20152522517675,9:24,102.21653959061379,33.628097986660194,22.289627620157475,77.05494789514864
2025-04-28,Galaxy S22,Windows 11 23H2,Gaming,35.01063958065149,3:06,99.89790659674269,52.867300582245555,80.26854473196674,26.45111187329297
2025-05-21,"MacBook Pro 14""",Windows 11 23H2,Video Editing,98.05378031499053,3:49,91.34238432709381,41.41415695913391,83.4278875291635,37.90061772295941
2025-05-01,iPhone 15 Pro,Windows 11 23H2,Gaming,101.6059969669946,10:38,87.45409327426802,43.927317017312355,54.550834207653224,76.7777492781668
2025-04-24,Pixel 7,ios 17.4,Streaming,79.56822528021046,5:19,94.79620982222595,45.48693689567515,56.673013161520736,76.58848917436393
2025-04-25,Dell XPS 13,Android 13,Coding,50.8881241540988,8:47,94.92692114166105,39.11715812486676,84.88994512009222,31.65071433032941
2025-05-15,iPhone 15 Pro,iPadOS 17.4,Idle,86.96211701982534,3:59,92.17746242325677,38.44995571585077,41.34608689070203,78.483059515041
2025-04-10,Galaxy S22,iPadOS 17.4,Coding,91.22067429217017,3:31,82.12690025587217,34.60848012237161,64.99108105395024,30.533789668134798
2025-04-09,Dell XPS 13,ios 17.4,Idle,70.16963061793999,3:27,90.0447326145538,56.07788318956104,69.20730617489883,81.99869314281962
2025-04-29,HP Spectre x360,macOS 13.3.1,Gaming,59.51310812483223,8:03,96.89666888100561,42.54501082503718,62.710319703301124,65.71917327049346
2025-05-13,Galaxy Tab S8,Windows 11 23H2,Streaming,62.52853089525871,5:52,92.71368888610426,44.46816257809378,56.23589670315121,56.80570392612772
2025-05-01,"MacBook Pro 14""",macOS 13.3.1,Idle,72.95358560789525,9:47,92.50991098287597,46.528686516326985,32.16973192256498,31.90154490546359
2025-05-05,iPad Air 5,Android 13,Idle,29.724018062930355,2:32,98.42583940294251,50.47170265304673,31.94808557235771,60.578692917825634
2025-05-10,Dell XPS 13,Windows 11 23H2,Gaming,97.76384677076135,3:58,83.30882508802743,35.394679267269865,74.0463521900597,64.73845939046818
2025-05-23,Pixel 7,Android 13,Gaming,21.737949781065755,2:35,102.12245431286317,50.960874861299615,62.788921888632096,64.94104552481416
2025-04-18,iPhone 15 Pro,ios 17.4,Idle,31.698690336008863,6:36,85.28896863716075,47.50628014456124,45.591094181435736,50.04157704881397
2025-04-28,iPad Air 5,Windows 11 23H2,Streaming,87.58055942011926,9:26,91.58778563608209,46.61790725157175,82.99167703651935,36.033936118629086
2025-04-09,Dell XPS 13,ios 17.4,Idle,70.52216370009847,3:27,92.25242417252198,42.730104908179364,64.45850835724835,70.49886871025876
2025-05-09,Lenovo Yoga 9i,iPadOS 17.4,Streaming,41.9248628868477,10:59,86.47268571151082,38.44293265003672,36.51366486205266,82.77735901607558
2025-05-22,Pixel 7,Android 13,Gaming,32.25500530473769,2:35,100.95334459384597,42.35839388771842,64.39597239486055,71.65620441358851
2025-04-25,Pixel 7,iPadOS 17.4,Streaming,32.14446554225151,3:50,101.36836831438859,57.049131118779805,52.96703245900002,29.966619905439376
2025-04-21,iPad Air 5,iPadOS 17.4,Gaming,30.814916983723357,6:35,89.4609698960142,50.897962611374965,81.4970324172282,39.378125869572216
2025-05-01,Pixel 7,ios 17.4,Streaming,27.942587562128328,5:54,91.47272090993035,39.42416822399301,53.22009539443151,79.46430807347573
2025-04-29,iPhone 15 Pro,Windows 11 23H2,Video Editing,24.11092099134375,7:12,103.58265000060669,51.54145990956918,28.470486750110993,71.55442470039549
2025-05-18,Galaxy S22,Android 13,Video Editing,79.84508819959314,6:47,97.26608540654341,41.25361100987121,69.6361091697909,79.5146003198457
2025-05-09,iPad Air 5,Windows 11 23H2,Streaming,93.10444807009536,9:26,89.5118607264376,49.105712700430395,86.13717891260907,43.336171836460075
2025-05-06,iPad Air 5,iPadOS 17.4,Gaming,42.33314553968212,6:35,86.07017826334462,49.6850421564353,90.71216725439075,55.15559242362591
2025-04-29,Surface Pro 9,macOS 13.3.1,Idle,55.89082259923989,7:28,106.32450961838096,45.735878297131244,56.73720790620898,42.91644390288163
2025-04-21,"MacBook Pro 14""",Windows 11 23H2,Idle,22.56233459428355,8:02,91.702769354994,45.68565664927416,30.59457246536023,72.26922386242127
2025-05-10,Galaxy S22,ios 17.4,Video Editing,34.43505439598136,4:28,79.72314933065233,28.815147413996275,64.36784726549637,30.999256459139783
2025-04-28,Galaxy Tab S8,Android 13,Gaming,49.18642170011987,9:31,97.84577447667297,42.310944932515085,81.99953959642572,68.73311415363347
2025-04-13,Galaxy Tab S8,Android 13,Gaming,31.328589326405336,3:19,97.21421475403997,40.578727760427846,40.811828399295806,47.690643343697595
2025-04-30,Pixel 7,Windows 11 23H2,Idle,62.11412955600518,6:01,90.61934949841847,38.06713094775087,55.88935128541634,70.07447327642645
2025-04-12,Galaxy Tab S8,Android 13,Video Editing,75.37578898953397,3:41,104.00174294443735,41.11767957671952,50.644212973421574,77.65941645880076
2025-04-21,Lenovo Yoga 9i,iPadOS 17.4,Gaming,85.78270066146614,8:36,90.6183599057018,35.80471209820787,31.50828558132634,71.69206416206107
2025-05-04,HP Spectre x360,Android 14,Coding,24.363105541303753,6:39,103.06089799910808,46.79209976407343,70.1614066229512,38.20955315229238
2025-04-23,"MacBook Pro 14""",Windows 11 23H2,Idle,87.40149038862394,5:04,77.17490644093041,46.416299441364224,82.94152607972954,50.218213828005965
2025-05-05,iPad Air 5,Windows 11 23H2,Streaming,85.16142398243235,9:26,95.83897895974299,52.018847738677266,83.97217381394434,34.3228795174009
2025-04-20,Dell XPS 13,iPadOS 17.4,Coding,95.17260866282027,10:56,97.41806814654802,50.45940457687054,33.37124462962755,31.907127172585582
2025-04-23,iPad Air 5,iPadOS 17.4,Streaming,80.61294644327478,9:46,106.05868316083259,39.74457680177644,55.588639802079236,31.148332836340423
2025-05-22,Pixel 7,Windows 11 23H2,Gaming,28.984919314418107,4:08,92.5686448407016,41.697604672176034,79.23591853133541,87.71840340192135
2025-05-08,Dell XPS 13,ios 17.4,Coding,66.68866393729587,9:57,89.67686634420595,46.625087024247826,73.96111223501443,43.71782936871902
2025-05-14,"MacBook Pro 14""",macOS 13.3.1,Idle,45.88995930175416,8:44,94.54238387247256,37.44901622694025,3.103853382852506,79.40826611222892
2025-05-21,Dell XPS 13,iPadOS 17.4,Gaming,32.05473646847028,2:50,82.13284582622109,30.93622113960089,70.93901979200535,81.59884374386166
2025-04-16,iPad Air 5,macOS 13.3.1,Video Editing,82.53508995236768,2:52,91.88474597872423,40.56105709825854,67.07203178291005,53.03412735806698
2025-04-13,Dell XPS 13,macOS 13.3.1,Coding,31.271233104034643,4:31,103.43465843295388,55.48571358556786,34.50332079350728,65.73154489110335
2025-04-27,Pixel 7,Android 13,Video Editing,51.60217326205341,2:29,87.36158471492853,41.83784227303441,64.76063580916768,47.39443450121044
2025-05-10,iPad Air 5,macOS 13.3.1,Gaming,50.30084799872421,6:01,99.95722290590983,51.60426506372564,85.07456769466332,70.39857546359217
2025-04-16,Pixel 7,macOS 13.3.1,Streaming,65.07517844769305,2:38,98.88940741480117,44.75612734249006,57.162884473347376,80.4228564377702
2025-04-29,Galaxy Tab S8,Android 13,Gaming,36.68551297376125,3:19,95.90351113964175,39.793425256479644,21.63456878542101,53.02038258084081
2025-04-17,iPhone 15 Pro,Android 14,Video Editing,69.61297606117117,9:59,94.3322705126169,43.367831669886655,47.873117301370065,25.252347368895823
2025-04-23,Lenovo Yoga 9i,Windows 11 23H2,Idle,49.79928065136326,6:36,93.39068697705575,41.56913566283598,23.752605897457265,48.491964523942414
2025-04-27,Dell XPS 13,iPadOS 17.4,Video Editing,35.35213127855908,5:16,105.23456856186432,35.567878585186726,46.47644651999046,80.37089967715674
2025-04-26,Galaxy Tab S8,macOS 13.3.1,Gaming,59.170482279121686,5:34,86.83375920820116,48.50142402448477,18.1873506834841,66.78705301320124
2025-05-19,Galaxy Tab S8,Windows 11 23H2,Streaming,62.30544871055345,4:15,96.19109345147037,31.23266188808072,68.08448022058549,43.24853298189265
2025-05-05,iPhone 15 Pro,Windows 11 23H2,Gaming,102.08743141796855,10:38,86.6082593923063,39.3119780205771,43.298070334306914,74.9378740839705
2025-05-04,iPhone 15 Pro,Android 13,Idle,61.87500110305372,8:35,98.49743884813972,54.49520821064402,66.45021330772936,38.02342568140486
2025-05-02,Pixel 7,iPadOS 17.4,Streaming,23.405852537024167,3:50,79.66957061808843,49.96681198048412,47.175946206646884,25.093214087960654
2025-05-10,Galaxy S22,macOS 13.3.1,Gaming,40.84636724776456,3:36,90.56906156073792,52.18746891507395,83.38526479348673,46.89743786420221
2025-04-26,iPad Air 5,macOS 13.3.1,Gaming,54.90488957964753,6:01,95.8644607772583,65.65492801928163,85.18511375984154,68.7179538790013
2025-04-19,Dell XPS 13,iPadOS 17.4,Coding,101.27465631027097,10:56,101.18096268284565,64.9026189483726,27.60960250324581,47.61045578792736
2025-05-11,"MacBook Pro 14""",Windows 11 23H2,Idle,29.298967094368447,9:24,99.29992543514525,45.89005275292146,31.271766614677933,80.73259568334709
2025-05-01,Surface Pro 9,macOS 13.3.1,Idle,64.0236575914919,7:28,102.36198485505902,30.36580311467573,51.86571737131207,59.488761195248316
2025-05-18,"MacBook Pro 14""",Windows 11 23H2,Video Editing,95.62114608223337,3:49,95.8334087851518,47.393283789387546,73.45491531976307,36.27133675421059
2025-05-03,iPad Air 5,Windows 11 23H2,Streaming,86.86744515020608,9:26,84.3981196873831,54.14097409482181,84.91290607603713,40.84808579927103
2025-05-01,Pixel 7,ios 17.4,Streaming,31.31283767493678,5:54,99.27250644891429,45.35375920757621,51.496959643386624,73.11904744420562
2025-04-29,Pixel 7,Windows 11 23H2,Idle,64.1572478618911,6:01,102.45783729678402,43.36968019958637,48.331941628769655,60.202941979758975
2025-05-11,iPhone 15 Pro,Android 13,Gaming,85.1640835443614,3:51,97.455964818891,37.68115673714099,59.94895202771263,26.371924695984294
2025-05-18,Dell XPS 13,macOS 13.3.1,Idle,42.51314399945796,3:41,93.8038558271292,48.527415988873074,22.357864902637786,42.04818304283148
2025-05-02,iPhone 15 Pro,Windows 11 23H2,Gaming,102.97124579466555,10:38,93.31809325407252,46.18880336415363,44.125111086452364,75.78787273393016
2025-05-24,"MacBook Pro 14""",Android 13,Gaming,84.49779483569671,2:36,88.11281908402094,41.683539499050426,46.18968241510434,33.11679165117531
2025-04-30,Galaxy Tab S8,Android 13,Gaming,44.15346212038563,9:31,89.52452729393204,55.20334539867998,87.13175110877289,63.68384353700597
2025-05-13,Galaxy Tab S8,macOS 13.3.1,Gaming,63.679147624834776,5:34,101.64249275678125,46.15730810537242,16.516293232977844,65.42450797126007
2025-05-13,"MacBook Pro 14""",macOS 13.3.1,Idle,50.25057129458088,8:44,96.20357872792734,36.55324090805165,16.883493345703275,78.86682577572148
2025-05-03,Dell XPS 13,iPadOS 17.4,Coding,102.56430848511918,10:56,94.30342567939886,52.478405114523355,27.709653745805536,43.884056519665116
2025-04-26,Dell XPS 13,Windows 11 23H2,Coding,78.83045793257845,9:11,93.58977032635195,39.47619306603209,88.62986246074372,69.80703081113583
2025-04-30,iPhone 15 Pro,Android 13,Gaming,81.46206941219867,3:51,90.31783012052148,34.53224054486674,65.01658825597434,32.43870915136493
2025-05-19,Pixel 7,Android 13,Gaming,17.56174433534803,2:35,91.99208296108219,53.470296997647,62.51671217836465,72.30990088847405
2025-04-16,"MacBook Pro 14""",Windows 11 23H2,Idle,89.6523920328783,5:04,96.19818708573743,58.26961269996515,84.52657569917253,47.08126898228251
2025-04-04,"MacBook Pro 14""",ios 17.4,Gaming,65.0439286996496,4:15,76.94428750753745,44.09050196510324,19.40972190765683,28.52802965382131
2025-04-27,Dell XPS 13,iPadOS 17.4,Video Editing,38.73796963758474,5:16,109.2418344388771,41.226033861755,38.14431782304156,79.07797656344228
2025-05-10,Pixel 7,ios 17.4,Coding,24.350397240622712,2:15,87.88801650321452,39.27479589454377,29.998308265648063,76.08268442171016
2025-05-05,"MacBook Pro 14""",macOS 13.3.1,Idle,57.04879737910057,8:44,89.82467775964481,42.494849101345864,18.08520695320458,83.18752394935066
2025-04-26,Galaxy Tab S8,macOS 13.3.1,Gaming,61.75399963732521,5:34,89.6883811646746,51.61520608868205,20.98956140268603,62.85826113506005
2025-04-15,Galaxy S22,Windows 11 23H2,Gaming,74.54718872445932,7:59,94.00401397049973,41.33711464620875,54.496062990487935,50.15713586360984
2025-04-27,iPhone 15 Pro,iPadOS 17.4,Streaming,79.31023793515817,3:57,91.08549793834788,41.92298226580414,81.80645075535413,60.83987346336124
2025-05-05,Dell XPS 13,Windows 11 23H2,Gaming,102.51554801185281,3:58,84.11413579331959,33.99344984301878,73.14079007540383,63.503147394812856
2025-05-04,"MacBook Pro 14""",Windows 11 23H2,Video Editing,100.28667566536217,3:49,89.72362447095949,36.50390661125385,89.07016353369715,34.09246364920564
2025-05-11,Pixel 7,Android 14,Video Editing,47.93140241393264,8:34,104.07436170960275,50.93960945082064,21.24840687469787,62.833629269417195
2025-05-27,Pixel 7,Windows 11 23H2,Gaming,37.38694301423894,4:08,88.31698068864387,36.46989655334716,67.79549210329807,72.90274965560353
2025-04-21,Surface Pro 9,Android 13,Gaming,71.58755762764204,4:42,89.70421326465532,49.73310720226813,55.0524872329636,59.9886078602775
2025-05-18,"MacBook Pro 14""",ios 17.4,Streaming,54.61023756680848,6:55,85.56544845867451,43.22906952799899,12.757250512209342,68.79113528145857
2025-05-06,Pixel 7,Android 13,Idle,76.53152584881698,2:08,82.95768080931308,43.00254689853447,87.43558284580041,69.28117669392876
2025-05-12,Pixel 7,Windows 11 23H2,Gaming,29.960497509165428,4:08,84.86120072365027,31.93757854356589,74.8980780694406,71.67095441326768
2025-05-21,Dell XPS 13,macOS 13.3.1,Idle,44.441149078648984,3:41,97.58477658142851,39.433591296468066,28.326740453684334,36.69093503486746
2025-05-09,Pixel 7,ios 17.4,Streaming,87.64528210411491,5:19,98.50893438182547,51.40693746011539,45.910351013478504,75.03646597145197
2025-04-24,Dell XPS 13,Windows 11 23H2,Gaming,95.70176577490277,3:58,83.46785264979064,41.74716992096426,61.6880002633116,59.01555676399096
2025-04-30,Pixel 7,iPadOS 17.4,Streaming,25.997321490509698,3:50,88.7927504007229,52.78776020596358,48.76187907159736,33.65066949153673
2025-04-20,iPhone 15 Pro,Windows 11 23H2,Video Editing,18.51605996359305,7:12,91.7492768933289,42.07610163096582,22.73007721850946,79.34170307879072
2025-04-25,"MacBook Pro 14""",Windows 11 23H2,Idle,92.26419884457695,5:04,82.72279006163014,54.741021081608444,88.06208000902095,39.98944818553059
2025-04-22,Pixel 7,ios 17.4,Coding,24.02197204900799,2:15,80.24985954888257,49.65886856474913,32.32800319340932,76.31227096616416
2025-05-01,Dell XPS 13,Android 14,Video Editing,75.66670498350798,6:53,91.6979591899667,54.70007895585284,53.778706075790026,32.559801809350965
2025-05-15,Lenovo Yoga 9i,Android 14,Gaming,37.999956869980345,7:27,89.0088501487881,46.48890156309579,20.528431391955742,53.565414365719185
2025-05-12,iPad Air 5,Android 13,Idle,27.238218327021357,2:32,92.47191773220804,46.2293124700071,31.49229039308689,53.662354915689114
2025-04-22,Lenovo Yoga 9i,Windows 11 23H2,Gaming,59.35876061888037,9:26,95.50015746442169,48.10787511398517,31.54160706087598,37.626215182823586
2025-04-26,HP Spectre x360,iPadOS 17.4,Coding,106.31869497974171,4:44,81.56902795250468,56.62282385808473,22.162105335460467,22.599409558197113
2025-05-05,iPhone 15 Pro,ios 17.4,Idle,30.177997764522107,6:36,70.78838093747494,51.668626190387954,44.91792058795017,44.95953367757612
2025-05-02,Pixel 7,Android 13,Video Editing,52.20926275735845,2:29,97.23557623302625,45.647572838550516,71.13877294625476,56.62246003946322
2025-04-27,Surface Pro 9,Windows 11 23H2,Gaming,39.40848319585248,3:48,98.47861802266237,44.533203486253896,18.485602617598886,52.14968053889019
2025-04-14,Dell XPS 13,Android 13,Coding,50.174255106744916,8:47,96.44069945201787,39.477867677239196,78.9555180318834,30.68521653322137
2025-05-04,HP Spectre x360,macOS 13.3.1,Gaming,62.66731929954879,8:03,93.86357663323287,45.14939957509181,73.46720253955064,68.79102775160518
2025-04-22,Surface Pro 9,Windows 11 23H2,Gaming,55.51214479762488,3:48,99.89994574513014,45.56597191142638,22.41458985464984,51.74512682074443
2025-04-15,"MacBook Pro 14""",Windows 11 23H2,Idle,33.67554615503966,8:02,85.4135057626072,45.63960543749714,28.903874462754963,69.5288025349476
2025-04-13,Pixel 7,ios 17.4,Streaming,32.35532694118595,5:54,89.13800624775679,54.95009347306379,48.10960936255331,74.71201913614782
2025-05-06,iPad Air 5,Android 13,Idle,18.728647646030783,2:32,95.90311066253184,43.01357231680651,26.741837847916795,58.07580111601236
2025-04-13,Dell XPS 13,ios 17.4,Coding,48.420742386974254,2:43,84.14896030545067,56.132682675800254,36.66854330404175,36.31785867975977
2025-05-23,"MacBook Pro 14""",ios 17.4,Streaming,62.81261862442816,6:55,86.80361861142003,38.16997600591384,10.415010793862123,76.42837797135917
2025-05-01,Pixel 7,ios 17.4,Streaming,93.10743979893601,5:19,92.39032370036789,40.38519613014195,45.70277368854284,73.24721724081915
2025-05-27,Surface Pro 9,iPadOS 17.4,Video Editing,45.557605593648475,3:20,91.90264953195887,28.01372970932321,86.79115985254613,43.80550259160478
2025-04-15,Pixel 7,ios 17.4,Streaming,26.88205518306655,5:54,97.11558142211484,41.818757325715026,44.149359994375935,72.83461796080306
2025-05-06,Dell XPS 13,Android 14,Video Editing,83.18688054341203,6:53,75.40751550912448,53.9926157632645,55.331348584210254,46.55750278712953
2025-04-17,Surface Pro 9,Windows 11 23H2,Video Editing,84.91880068782847,4:46,96.65767882024637,44.68486959532151,50.91464500919169,36.85289398735426
2025-04-30,HP Spectre x360,iPadOS 17.4,Coding,96.35211171015423,4:44,94.83469523869637,52.841368085298,39.83689528231259,33.20468575786998
2025-05-04,Lenovo Yoga 9i,iPadOS 17.4,Streaming,31.486796821471255,10:59,92.55583837805511,42.09631665817148,43.85999822262178,74.83097082649914
2025-05-04,iPhone 15 Pro,Android 13,Video Editing,54.818230949846566,4:55,84.35643894221847,35.86542084698311,79.01183428212016,68.69813942036895
2025-05-15,Galaxy S22,Android 14,Streaming,85.12445644194017,3:14,99.68653335491382,33.230050918655586,34.870897415585645,43.85188072789592
2025-05-12,"MacBook Pro 14""",Windows 11 23H2,Idle,94.84829565741242,5:04,85.70890732665063,58.4560994777489,89.07699711306087,46.493909631832516
2025-04-11,iPad Air 5,iPadOS 17.4,Streaming,80.20343344960526,9:46,95.91224635707333,29.97382699727544,58.576972518687064,22.251300810485034
2025-05-02,iPhone 15 Pro,Windows 11 23H2,Gaming,106.00863792983417,10:38,88.75498118449559,36.14623206724383,46.407465855495026,69.7833131501247
2025-05-21,Dell XPS 13,macOS 13.3.1,Idle,56.067765325475214,3:41,95.76867643954203,41.100912320914844,32.45726250454288,42.63025043215641
2025-04-30,iPad Air 5,iPadOS 17.4,Streaming,70.04414028335553,9:46,99.82771944556778,31.245390584481207,69.43309611831536,30.457923274235345
2025-05-10,Pixel 7,ios 17.4,Video Editing,92.71328256080356,10:45,84.85970155821492,48.561530106898864,26.437722169756753,66.3816686730671
2025-04-06,Galaxy S22,Windows 11 23H2,Gaming,32.74363952398834,3:06,79.9243856983979,64.36941785817123,84.08194616369803,28.49438230601076
2025-04-30,Dell XPS 13,macOS 13.3.1,Idle,49.71775456620302,3:41,88.638798130697,34.15663613447692,24.52218178404776,45.54263966396047
2025-04-20,Dell XPS 13,ios 17.4,Coding,67.79147990375468,9:57,85.84424093647183,39.041566113554794,82.02147863895215,43.26193812797087
2025-04-29,Pixel 7,Android 13,Idle,85.29759974318657,2:08,93.12966030800928,42.801322462258604,71.97936273773215,58.37349405350378
2025-04-28,Dell XPS 13,macOS 13.3.1,Coding,40.96267192522576,4:31,99.91722407874612,50.242025198797876,34.96307519392707,66.18711893223072
2025-05-20,HP Spectre x360,macOS 13.3.1,Coding,46.68642149600236,4:37,83.38839798119811,49.0304653346403,60.59517553630983,28.95760123705568
2025-04-22,"MacBook Pro 14""",ios 17.4,Gaming,48.06980392208937,6:27,84.99261704783954,39.12482705177504,39.10046253395297,34.06371502729643
2025-05-04,Galaxy S22,Android 13,Video Editing,83.4002709350792,6:47,101.93261048652906,34.33377154919874,73.61088257962052,78.55495972957401
2025-05-02,HP Spectre x360,Windows 11 23H2,Idle,87.07058341239984,2:53,100.5096157268203,50.788038223889316,80.06827891249843,30.05022684937927
2025-04-27,iPad Air 5,macOS 13.3.1,Gaming,49.2919615985402,6:01,93.2170060803678,52.36657728126215,89.749002380495,81.83214651041371
2025-05-22,HP Spectre x360,macOS 13.3.1,Gaming,61.018758715368286,8:03,91.37307789513113,47.09661880079719,63.82240216614959,68.55566467839441
2025-05-24,Galaxy Tab S8,Windows 11 23H2,Streaming,60.17289572901157,5:52,83.8810411828809,46.862065996771534,58.14124767304233,47.25559304733612
2025-05-06,Dell XPS 13,Windows 11 23H2,Coding,73.82065037344731,9:11,94.07835597749747,29.66614674550185,94.96159963149321,71.48447271426296
2025-05-23,Dell XPS 13,iPadOS 17.4,Video Editing,36.44443382024829,5:16,105.72601586668021,49.35417036674183,37.34592585645805,85.40893250619885
2025-05-06,Pixel 7,ios 17.4,Streaming,91.1851379281283,5:14,89.19034471142871,40.63740026298496,59.91177137935676,44.358742180417195
2025-05-07,Pixel 7,Android 13,Gaming,23.81238301902013,2:35,106.53704313033465,46.42837752231842,71.80816766059351,77.39264972354613
2025-04-25,iPhone 15 Pro,iPadOS 17.4,Idle,81.29119739247992,3:03,99.3697700988915,44.72603792532946,69.92346405285673,27.32962427842804
2025-05-08,Galaxy Tab S8,Android 13,Gaming,28.147625383465176,3:19,92.3827803536031,42.073688393646755,29.21354615979717,41.65008114924167
2025-05-08,Surface Pro 9,macOS 13.3.1,Idle,59.010726039657975,7:28,94.43063128319938,40.42798654022024,56.24836551430191,54.74230707134986
2025-05-02,Galaxy Tab S8,Windows 11 23H2,Streaming,57.07812429466095,4:15,93.9505815565634,37.08599616027772,66.67952262157687,51.967459205757436
2025-04-05,"MacBook Pro 14""",ios 17.4,Gaming,43.080243860670706,6:27,91.80077239825648,47.08428738387348,40.1125789297292,50.31435001427867
2025-05-07,Surface Pro 9,macOS 13.3.1,Idle,67.96730047668096,7:28,101.41963001476115,33.201410421329655,61.37772364997035,51.43273699996923
2025-05-01,"MacBook Pro 14""",macOS 13.3.1,Idle,70.35206303404917,9:47,91.43903101832504,44.090435889215385,31.97051769079168,22.80143576837269
2025-05-13,Galaxy Tab S8,Windows 11 23H2,Streaming,62.6236981258056,5:52,86.9567134872924,44.466073327937266,50.89214549849347,51.76828767287533
2025-04-08,"MacBook Pro 14""",ios 17.4,Gaming,50.15984971862969,6:27,105.86967694551709,44.578969605092446,42.762123106286765,48.32303176997813
2025-04-16,Galaxy S22,Windows 11 23H2,Gaming,82.71136758926212,7:59,88.39593715248958,46.1441111056209,52.95619254030563,57.67152289944869
2025-04-29,iPad Air 5,iPadOS 17.4,Video Editing,72.05558627421273,8:53,93.29617932560889,36.79005651107378,58.47864256503316,62.05135716446591
2025-04-30,iPhone 15 Pro,Android 13,Gaming,86.38831867383591,3:51,92.55952564429892,43.10398603452363,55.56046346338851,29.057624883795157
2025-04-30,Pixel 7,Android 13,Gaming,16.16714971365862,2:35,99.52381131871903,48.462520737975275,62.74068090743415,68.99308543214069
2025-04-05,Surface Pro 9,macOS 13.3.1,Idle,86.49258968161539,4:17,100.40350924837149,37.28203120474418,65.5191823677154,78.96111341737492
2025-04-28,HP Spectre x360,iPadOS 17.4,Coding,82.00237657111069,6:37,102.05352828591542,30.981336867989974,14.528740573172632,35.79389843440159
2025-05-10,Pixel 7,ios 17.4,Streaming,99.70681653432558,5:19,90.31149749874321,44.65477271095417,46.07732599079283,75.83032569312341
2025-05-07,iPhone 15 Pro,iPadOS 17.4,Idle,80.86724870604702,3:03,92.63843653804138,41.06537501077998,72.5790480577385,25.30251568571155
2025-04-29,Galaxy Tab S8,Windows 11 23H2,Video Editing,41.01667979511601,4:23,97.3284346265474,39.9149559828807,45.483807414450716,59.996169758857974
2025-04-25,Galaxy Tab S8,macOS 13.3.1,Gaming,60.42399174417237,5:34,104.6585569025392,54.498035503238,19.098699923722673,66.42464006205537
2025-04-29,HP Spectre x360,iPadOS 17.4,Coding,95.7802517705365,4:44,94.63868164266472,52.201432688919596,26.551855651181512,37.46916861819953
